Image,Name,Address,City,State,Zipcode,INVESTMENT HIGHLIGHTS,EXECUTIVE SUMMARY,AMENITIES,ABOUT,TRANSPORTATION,Sale Type,Sale Conditions,Property Type,Property Subtype	,Building Class,Lot Size,Building Size	,No. Rooms/Lots,No. Stories	,Year Built/Renovated,Tenancy,Parking Ratio,Corridor ,Opportunity Zone	 ,Building Height,Building FAR,Percent Leased,Frontage,PROPERTY_FACTS,url
https://images1.loopnet.com/i2/xlWfDm-h7Liwu0YZAu-wEc-ytLNp4UV-qoPMntRGORM/110/101-175-E-Alex-Bell-Rd-Centerville-OH-In-Line-Tenants-5-Large.jpg | https://images1.loopnet.com/i2/8nJZAfq_dWHDvx6LpoAa5KSvRekqapV0Nb0m_1bl2Lg/110/101-175-E-Alex-Bell-Rd-Centerville-OH-Decorated-Courtyard-6-Large.jpg | https://images1.loopnet.com/i2/JwodwUIEPf5YlnVdhzswSFM3dTdGZamXZtfxa5AX-PU/110/101-175-E-Alex-Bell-Rd-Centerville-OH-Prominent-Building-Signage-7-Large.jpg | https://images1.loopnet.com/i2/eGug5WZaT4VGVig4g5xwBzYsOxk2yl5d7PXIAR21M00/110/101-175-E-Alex-Bell-Rd-Centerville-OH-Gemini-Eye-Care-and-Great-Miami-Outfitters-8-Large.jpg | https://images1.loopnet.com/i2/iLy2sKzSWVglM8Z5byevx76jeZTQulYL3GA4VV_ve5Y/110/101-175-E-Alex-Bell-Rd-Centerville-OH-Bellbrook-Chocolates-9-Large.jpg,Cross Pointe Shopping Center,101-175 E Alex-Bell Rd, Centerville,OH,45459,Flexible terms available for anchor-tenant leases.,,"
Dedicated Turn Lane

Freeway Visibility

Signalized Intersection

","South Dayton is located just minutes from downtown Dayton and less than an hour from Cincinnati, both via Interstate 75. The area offers easy access to Dayton’s largest employer, as well, with Wright-Patterson Air Force Base a short drive north along Interstate 675. Another top area employer, LexisNexis, is located in South Dayton, with a corporate campus in Miamisburg.South Dayton offers a wealth of recreational opportunities, including the 189-acre Cox Arboretum MetroPark, which features a Butterfly House and Tree Tower, and Crains Run Nature Park, which sits along the Great Miami River.Much of the area is populated by low-density, higher-income neighborhoods, with commercial space concentrated along interstates 75 and 675 and State Route 48. Austin Landing, one of Dayton’s pre-eminent mixed-use developments, is located along Interstate 75 in Miamisburg and features a wealth of shopping, restaurants, and entertainment venues. South Dayton is also home to the area’s largest mall, the 1.5 million-square-foot Dayton Mall, located just northeast of the I-75/I-675 interchange.South Dayton’s low cost of living, multiple colleges and universities, and proximity to Wright-Patterson are among the many attributes that have fueled steady demand from retail tenants. This has resulted in a tight market, with vacancy sitting below the market average and supported by a healthy pace of rent growth.",,,,,,,69.37 AC,,,,1987,,,,,,,,,"PROPERTY FACTS FOR
							101-175 E Alex-Bell Rd

,

Centerville,

							OH 45459
						






Rental Rate

$6.00 /SF/YR						


Min. Divisible

13,652 SF						


Center Type

Power Center						


Parking

2,235 Spaces						


Stores

59						


Center Properties

7						


Frontage


Alex-Bell
								



 2,181’ on Alex Bell Rd
 2,369’ on I-675 Hwy
 819’ on Loop Rd
 660’ on Far Hills Ave




Gross Leasable Area

380,166 SF						


Total Land Area

69.37 AC						


Year Built

1987",https://www.loopnet.com/Listing/101-175-E-Alex-Bell-Rd-Centerville-OH/26565314/
https://images1.loopnet.com/i2/MSCFA2SxItUSuuyA5ocFwQ0-lVtfcIBJDgAa33-VX0U/110/340-Commerce-Drive-South-Point-OH-Expansive-Drive-In-Bay-4-Large.jpg | https://images1.loopnet.com/i2/2vfnRbkNp1ldrKBA1CSkghrwZpgysdgQ9vQZR0RlHCM/110/340-Commerce-Drive-South-Point-OH-60000-Square-Foot-Warehouse-5-Large.jpg | https://images1.loopnet.com/i2/Pe5DnjCoe71HZYOfbum49IoV4umCm0pb-lj81C7zbZ4/110/340-Commerce-Drive-South-Point-OH-Built-in-2023-6-Large.jpg | https://images1.loopnet.com/i2/lEZPl3SEI1iIzNi6TxkKgO5qzqRcFyqPvv9sHr38Gqc/110/340-Commerce-Drive-South-Point-OH-34-Foot-Clear-Height-7-Large.jpg | https://images1.loopnet.com/i2/R55GvXRam8Mnwrgfn9Ke2PFV0RHqsgAEoaPkNueXiZw/110/340-Commerce-Drive-South-Point-OH-Distribution-Warehouse-Along-the-Ohio-River-8-Large.jpg,340 Commerce Drive,340 Commerce Drive, South Point,OH,45680,"Newly built, 60,000-square-foot asset with a 34-foot clear height, one drive-in bay, 8-inch warehouse floors, and four loading docks with levelers. 
Distribution-friendly location along the Ohio River at the borders of Ohio, West Virginia, and Kentucky, with Interstate 64 minutes away. 
Take advantage of cost-saving benefits due to no income tax, no inventory tax, no personal property, and no corporate franchise tax.


Part of a new industrial park featuring truck scales, rail scales, an intermodal transport area, and on-site public port access via the River Dock.
Expand logistical reach, 20 minutes from Huntington Tri-State Airport, 1 hour from Charleston, 2 from Lexington and Columbus, and 2.5 from Cincinnati.
Available for sale or lease. Enquire now.",,,,Tri-State/Milton J Ferguson Field26 min drive16.8 mi,,,,,,,,,,,,,,,,,,,"Features
			






										Clear Height
									


34’





										Warehouse Floor
									


8”





										Drive-In Bays
									


1





										Exterior Dock Doors
									


4





										Levelers
									


4",https://www.loopnet.com/Listing/340-Commerce-Drive-South-Point-OH/23920940/
https://images1.loopnet.com/i2/iv-AZ9gCh8G3jMuk80KQEtDjh1sn7qzbB0SaxVqHlLY/110/7845-Northfield-Rd-Walton-Hills-OH-Forward-Innovation-Center-Building-1-Spec-Warehouse-4-Large.jpg | https://images1.loopnet.com/i2/iV0AGxGq2Zz0QjVNDW88lNs3Pn1MS6YKAjK_Kg5p1pI/110/7845-Northfield-Rd-Walton-Hills-OH-Forward-Innovation-Center-Modern-Construction-and-Build-to-Suit-Opportunities-5-Large.jpg | https://images1.loopnet.com/i2/3BTbvvNKW7RTImn0EIC0y3cRZqhuDdTd36kooOZsibY/110/7845-Northfield-Rd-Walton-Hills-OH-Forward-Innovation-Center-Modern-Construction-and-Build-to-Suit-Opportunities-6-Large.jpg | https://images1.loopnet.com/i2/4Papxl9KlpCQcqNZZ2OSi8aZ39vToqjdkebT363MhHo/110/7845-Northfield-Rd-Walton-Hills-OH-Forward-Innovation-Center-Modern-Construction-and-Build-to-Suit-Opportunities-7-Large.jpg | https://images1.loopnet.com/i2/J1MILFiyapGVZocexH_vaVCHXQVmdCKZvGa0FzF1-i8/110/7845-Northfield-Rd-Walton-Hills-OH-Forward-Innovation-Center-Positioned-Adjacent-to-Norfolk-Southern-Rail-8-Large.jpg,Forward Innovation Center East,7845 Northfield Rd, Walton Hills,OH,44146,"Building 1 at Forward Innovation Center is a new spec warehouse totaling 247,000 square feet of modern construction and build-to-suit offices.
Norfolk Southern Rail runs adjacent to the property, providing a convenient rail freight option to connect producers to end users.
Potential for outdoor storage.


Distribution and manufacturing campus supports flexible designs with spec, build-to-suit, and incentive-laden options available.
Major markets like New York, Chicago, and Philadelphia are within a 10-hour drive, placing businesses within reach of half the country’s population.
New Utility Service with Heavy Power - 25 MW Available.",,,"Bedford is among the most populous areas in Cleveland and is home to more than 23,000 residents. Logistics, manufacturing, and healthcare are major industries in Bedford, and some of the largest employers in the area include New Age Logistics, JB Hudco, Arhaus, and University Hospitals.Bedford is strategically located with easy access to major interstates including I-480, I-271, and I-80, as well as the Norfolk Southern and Cleveland Commercial Railway lines. The area is just a 15-minute drive to the Cleveland Hopkins International Airport, which serves as an air cargo hub for various airlines including United, Delta, and Southwest, as well as logistics companies such as UPS and FedEx. Bedford is also situated just 20 miles southeast of the Port of Cleveland, the third-largest port in the Great Lakes.Employers in Bedford have access to the region’s top talent and is located near higher education institutions such as Case Western Reserve University and Cleveland State University. Bedford is also located near many of the largest suburbs in the region including Solon, Twinsburg, and Garfield Heights. A strategic location and mid-level rents make Bedford an attractive location for industrial tenants and investors alike.",Lynnfield | Farnsleigh | Kenmore | Warrensville | Avalon15 min drive | 16 min drive | 16 min drive | 15 min drive | 16 min drive9.8 mi | 10.1 mi | 10.0 mi | 9.2 mi | 10.4 miCleveland-Hopkins International | Akron-Canton Regional36 min drive | 46 min drive24.2 mi | 33.5 mi,,,,,,,,,,,,,,,,,,,"PARK FACTS
					





Min. Divisible

50,000 SF						


Park Type

Industrial Park",https://www.loopnet.com/Listing/7845-Northfield-Rd-Walton-Hills-OH/29154212/
https://images1.loopnet.com/i2/i2vGPXCs6vYrI_60ppoKd7c5MwxpIZYnyOFTeAIYZlY/110/4676-Erie-Ave-SW-Navarre-OH-OFFICES-CONFERENCE-ROOM-4-Large.jpg | https://images1.loopnet.com/i2/PxxhNGnqnkxM0s6uDQrkSfkTrNvb4BANBOap6-CKxuc/110/4676-Erie-Ave-SW-Navarre-OH-WAREHOUSE-B-5-Large.jpg | https://images1.loopnet.com/i2/bIqgivs90Vfsm_-nEMp9hxvImnYaui-wxhhybnnOiU8/110/4676-Erie-Ave-SW-Navarre-OH-4676-Erie-Ave-SW-Building-A-Entrance-6-Large.jpg | https://images1.loopnet.com/i2/qFLhMVUtIhmKjQSRL_ZM5RYVqq7gXuO9I_igfiFhRig/110/4676-Erie-Ave-SW-Navarre-OH-4676-Erie-Ave-SW-Building-A-Entrance-7-Large.jpg | https://images1.loopnet.com/i2/9BZfEytJ-lwGSPFftQPjdLjbl-2XJI_Q6rX2AI20vmk/110/4676-Erie-Ave-SW-Navarre-OH-Building-D-Entrance-8-Large.jpg,4676 Erie Ave SW,4676 Erie Ave SW, Navarre,OH,44662,"4676 Erie Avenue SW is a renovated, 608,737-square-foot facility equipped with heavy power, a 35-foot ceiling height, and upgraded office space.
Additional features include 17,000 racked locations, 13,200 of which are sprinklered locations with NFPA 30 Design Scheme B.
Situated on a 55-acre site with 150 truck trailer parking spots, 244 car spaces, and potential railcar access.


Features include a server room with FM200 waterless fire suppression and 84 dock doors with dock levelers and locks in place.
4676 Erie Avenue SW has a SARTA bus stop directly outside the entrance doors and is near Interstate 77 and Routes 30, 62, and 21.",,,,Akron-Canton Regional26 min drive19.8 mi,,,,,,,,,,,,,,,,,,,"Features
			






										Clear Height
									


35’





										Column Spacing
									


51’ x 22’





										Warehouse Floor
									


8”





										Exterior Dock Doors
									


84





										Levelers
									


35





										Standard Parking Spaces
									


244",https://www.loopnet.com/Listing/4676-Erie-Ave-SW-Navarre-OH/30543144/
https://images1.loopnet.com/i2/1L7VmSlRYCaOwhSNrtfWA14EHMqZEDcq4madZFmN1Ks/110/885-Stelzer-Rd-Columbus-OH-885-Stelzer-Road-1-Large.jpg | https://images1.loopnet.com/i2/gyIp9vK_jHC2-dre2qIHZIbIjOwBlc7n5hFDqB6UTAc/110/885-Stelzer-Rd-Columbus-OH-View-the-Site-Plan-2-Large.jpg,Spec Building Delivering February 2024!,885 Stelzer Rd, Columbus,OH,43219,"Delivering February 2024!
Last mile, Distribution or Light Manufacturing
Nearby corporations with industrial footprints include FedEx, USPS, Dr. Pepper Snapple, FritoLay, Blast One, and more.


One-of-a-kind, 207,740-square-foot speculative industrial facility with easy access in a sought-out Columbus location.
Ideally located directly across from the John Glenn Columbus International Airport and minutes to Interstates 670, 270, and Highway 62.
Within a 15-mile radius is a population of 1,436,411 with a median household income of over $65,550, contributing to the strong local demographics.",,,,John Glenn Columbus International | Rickenbacker International5 min drive | 22 min drive2.2 mi | 13.6 mi,,,,,,,,,,,,,,,,,,,"Features
			






										Clear Height
									


32’





										Column Spacing
									


60’ x 52’





										Drive-In Bays
									


2





										Exterior Dock Doors
									


17





										Standard Parking Spaces
									


220",https://www.loopnet.com/Listing/885-Stelzer-Rd-Columbus-OH/25144379/
https://images1.loopnet.com/i2/MIWhz51MHvvUgmJSsWfhU5OTrsQ3a6FuL9CKrf4NpVE/110/6801-Brecksville-Rd-Independence-OH-Independence-Technology-Center-at-6801-Brecksville-Road-4-Large.jpg | https://images1.loopnet.com/i2/rtWHEtgijpzTRzeOMhWCnaXTe8HWDOuVvt8BgUTkWeQ/110/6801-Brecksville-Rd-Independence-OH-Robust-Infrastructure-Perfect-For-A-Data-Center-5-Large.jpg | https://images1.loopnet.com/i2/HAatPsZHvbFjpl1su7yAtrkXPWhwqosSnpumtyjnn0Y/110/6801-Brecksville-Rd-Independence-OH-Robust-Infrastructure-Perfect-For-A-Data-Center-6-Large.jpg | https://images1.loopnet.com/i2/OWed9shTcRvspqCaZVThP1ZK-7xl8rSXCmKTn7Hib3w/110/6801-Brecksville-Rd-Independence-OH-Significant-Building-Power-Including-10-Megawatts-Of-Power-Geothermal-In-Place-And-Solar-Panels-With-A-Smaller-Footprint-For-Energy-Conscious-Tenants-7-Large.jpg | https://images1.loopnet.com/i2/2DKqLxU3fdGtZR8sEy6OwUGOmX_M5Qecu1VHMSvqf6g/110/6801-Brecksville-Rd-Independence-OH-Courtyard-8-Large.jpg,Independence Technology Center,6801 Brecksville Rd, Independence,OH,44131,"Strategic Location: Located in the most central commercial real estate submarket in Northeast Ohio, 2 miles to I-77 offering convenient accessibility.
Scalability and Expansion Opportunities: 500 - 229,000 SF available (space easily subdivided) is perfect for biotech, lab, data, or call center.
Environmental Sustainability & Data Center Tax Exemption: ITC incorporates a rooftop solar panel farm, geothermal HVAC system. LEED certified, Silver.


Robust Infrastructure: 10 MW of power with diverse utility feeds. A strong fiber ring with millisecond latency and data speed up to 100 Gb/s.
Advanced Security Measures: Fire protection, a sprinkler system, backup generators, advanced cooling systems, scalable network connectivity options.
Amenity Rich: Direct access to a running/bike trail, 1,800 free parking spaces, 38 restaurants & 5 childcare facilities within 5 to 7 minutes.",,,"Independence is among the most populous suburbs in Cleveland and is home to more than 680,000 residents within a 10-mile radius. Finance, manufacturing, and professional services are major industries in Independence, and some of the largest employers in the area include Safeguard Properties, CBIZ, and Hyson Products. Independence is strategically located with easy access to major interstates including I-480, I-77, and I-80. The area is just a 15-minute drive to the Cleveland Hopkins International Airport, which serves as an air cargo hub for various airlines including United, Delta, and Southwest, as well as logistics companies such as UPS and FedEx. Independence is also situated just 14 miles south of the Port of Cleveland, the third-largest port in the Great Lakes. Employers in Independence have access to the region’s top talent and is located near higher education institutions such as Case Western Reserve University and Cleveland State University. Accessibility and mid-level rents make Independence an attractive location for industrial tenants. The area has captured many of the market’s top industrial leases, with companies such as Innoplast and Thermoprene, Mpac Switchback, and Accurate Healthcare signing leases in the area in recent years.",East 79 | East 55 | Onaway | Ashby | Lee17 min drive | 15 min drive | 23 min drive | 23 min drive | 22 min drive9.0 mi | 8.2 mi | 10.8 mi | 10.5 mi | 10.1 miCleveland-Hopkins International | Akron-Canton Regional27 min drive | 54 min drive14.5 mi | 41.4 mi,,,,,,,,,,,,,,,,,,,"Features
			






										Exterior Dock Doors
									


3





										Standard Parking Spaces
									


1,800",https://www.loopnet.com/Listing/6801-Brecksville-Rd-Independence-OH/31466206/
https://images1.loopnet.com/i2/FBr3ay2KWfK4b9iP21u_NLD4pZzz9Mvgq8-RXkHhjaY/110/1500-W-3rd-St-Cleveland-OH-5th-Floor-Sublease-4-Large.jpg | https://images1.loopnet.com/i2/lyNaaEsv3J1cyurYxbnLOtGY2Qn9QPvF0GFmgR7lXM4/110/1500-W-3rd-St-Cleveland-OH-5th-Floor-Sublease-5-Large.jpg | https://images1.loopnet.com/i2/vwIaSEOg-NZxBVp8yPqexM10q4jR43bFh7FU4Hngtyk/110/1500-W-3rd-St-Cleveland-OH-5th-Floor-Sublease-6-Large.jpg | https://images1.loopnet.com/i2/gbALkS6AgJ-nuaVI1L2dBdkSpJJ5HkZcCOBFaI8x_Kg/110/1500-W-3rd-St-Cleveland-OH-Post-Office-Plaza-at-1500-W-3rd-Street-7-Large.jpg | https://images1.loopnet.com/i2/MqE9L-32AVx5EV6mv5JWu9Lz6lbaYkGrjKB1kOCaqIs/110/1500-W-3rd-St-Cleveland-OH-Constructed-Huron-Facade-8-Large.jpg,Post Office Plaza,1500 W 3rd St, Cleveland,OH,44113,"Post Office Plaza is a historic five-story, 455,000-square-foot building with modern renovations in the bustling Town City Center development.
Prime CBD location within walking distance to Public Square, Rocket Mortgage Field House, Progressive Field, JACK Casino, E4th Street, and much more.


Join an elevated workplace experience perfect for professional service firms and budding entrepreneurs to technology-based companies.
Move-in-ready office space boasting recent updates with furniture available and a lease term running through February 2025.",,"
Atrium
Banking

Convenience Store
Fitness Center

Property Manager on Site

Restaurant
","Continued investment and revitalization efforts are spurring growth in Cleveland’s central business district. Drawn to such positive transformation and activity, multifamily developers are active in downtown Cleveland and its surrounding neighborhoods such as Tremont, Ohio City, and Gordon Square. Urban amenities and proximity to employers are also drawing in young professionals and empty nesters alike. According to a report from the Downtown Cleveland Alliance, the residential population in downtown totals nearly 18,000 residents, making it the largest residential downtown area in Ohio. By 2030, the population is expected to nearly double to reach 30,000 residents.Cleveland is home to several Fortune 500 companies including Sherwin Williams, which recently announced plans for a new 1-million-square-foot headquarters building on Public Square. In addition, financial services is a dominant industry in downtown Cleveland, and some of the area’s largest tenants include Key Bank, PNC Capital Advisors, and Medical Mutual of Ohio.The affordability of downtown Cleveland’s office market continues to draw and retain tenants, a dynamic that continues to be reflected in healthy leasing activity. Companies such as Spaces (co-working), Weston Hurd, and U.S. Bank are behind some of the most recent leases signed.",Tower City - Public Square | Settlers Landing | Flats East Bank | West 3 | Cleveland Lakefront Station4 min walk | 10 min walk | 9 min walk | 11 min walk | 7 min drive0.1 mi | 0.3 mi | 0.5 mi | 0.6 mi | 2.1 miCleveland-Hopkins International23 min drive13.5 mi,,,,,B,,"455,000 SF",,,1925/1990,,,,,5 Stories,,,,"PROPERTY FACTS
					
				






											Building Type
										


Office





											Year Built/Renovated
										


1925/1990





											LoopNet Rating
										


4 Star





											Building Height
										


5 Stories





											Building Size
										


455,000 SF





											Building Class
										


B





											Typical Floor Size
										


95,400 SF











							Parking
						


												10 Surface Parking Spaces
											

												500 Covered Parking Spaces",https://www.loopnet.com/Listing/1500-W-3rd-St-Cleveland-OH/31547912/
https://images1.loopnet.com/i2/uSOJ_rxU0hHiZEa6qA_AtOwC0lObp2EDLTpi-cJyTtQ/110/1500-W-3rd-St-Cleveland-OH-Post-Office-Plaza-at-1500-W-3rd-Street-4-Large.jpg | https://images1.loopnet.com/i2/3yG3YtVrqvJ8Y3vwpLGNGxiT-DKowGFNHLhb77uRvEk/110/1500-W-3rd-St-Cleveland-OH-Five-Story-455000-SF-Building-Boasting-Efficient-Floor-Plates-High-Ceilings-And-A-Historic-Lobby-5-Large.jpg | https://images1.loopnet.com/i2/HMoT24SkVcaNOFRSmZIXhv8vmW0_MjV4FpZm5BNBKZE/110/1500-W-3rd-St-Cleveland-OH-Main-Entrance-6-Large.jpg | https://images1.loopnet.com/i2/yVlcuzLY66BnJha7ODBNl6PJr74sscQBp8HhQ5pgkR0/110/1500-W-3rd-St-Cleveland-OH-Lobby-Five-Story-455000-SF-Building-Boasting-Efficient-Floor-Plates-High-Ceilings-And-A-Historic-Lobby-7-Large.jpg | https://images1.loopnet.com/i2/x09m4KFsfvlA5BHyUicAslNlSW9FFXBPWQl2ryJ-VWc/110/1500-W-3rd-St-Cleveland-OH-Main-Elevators-8-Large.jpg,Post Office Plaza,1500 W 3rd St, Cleveland,OH,44113,"Post Office Plaza is a historic five-story, 455,000-square-foot building with modern renovations in the bustling Town City Center development.
Join an elevated workplace experience perfect for professional service firms and budding entrepreneurs to technology-based companies.


Top-tier space with large, efficient floor plates offering move-in-ready suites and full-floor availabilities with panoramic river and downtown views.
Prime CBD location within walking distance to Public Square, Rocket Mortgage Field House, Progressive Field, JACK Casino, E4th Street and so much more",,"
Atrium
Banking

Convenience Store
Fitness Center

Property Manager on Site

Restaurant
","Continued investment and revitalization efforts are spurring growth in Cleveland’s central business district. Drawn to such positive transformation and activity, multifamily developers are active in downtown Cleveland and its surrounding neighborhoods such as Tremont, Ohio City, and Gordon Square. Urban amenities and proximity to employers are also drawing in young professionals and empty nesters alike. According to a report from the Downtown Cleveland Alliance, the residential population in downtown totals nearly 18,000 residents, making it the largest residential downtown area in Ohio. By 2030, the population is expected to nearly double to reach 30,000 residents.Cleveland is home to several Fortune 500 companies including Sherwin Williams, which recently announced plans for a new 1-million-square-foot headquarters building on Public Square. In addition, financial services is a dominant industry in downtown Cleveland, and some of the area’s largest tenants include Key Bank, PNC Capital Advisors, and Medical Mutual of Ohio.The affordability of downtown Cleveland’s office market continues to draw and retain tenants, a dynamic that continues to be reflected in healthy leasing activity. Companies such as Spaces (co-working), Weston Hurd, and U.S. Bank are behind some of the most recent leases signed.",Tower City - Public Square | Settlers Landing | Flats East Bank | West 3 | Cleveland Lakefront Station4 min walk | 10 min walk | 9 min walk | 11 min walk | 7 min drive0.1 mi | 0.3 mi | 0.5 mi | 0.6 mi | 2.1 miCleveland-Hopkins International23 min drive13.5 mi,,,,,B,,"455,000 SF",,,1925/1990,,,,,5 Stories,,,,"PROPERTY FACTS
					
				






											Building Type
										


Office





											Year Built/Renovated
										


1925/1990





											LoopNet Rating
										


4 Star





											Building Height
										


5 Stories





											Building Size
										


455,000 SF





											Building Class
										


B





											Typical Floor Size
										


95,400 SF











							Parking
						


												10 Surface Parking Spaces
											

												500 Covered Parking Spaces",https://www.loopnet.com/Listing/1500-W-3rd-St-Cleveland-OH/31113932/
https://images1.loopnet.com/i2/cyMHim8XJO_Ow-YW_lspwgGW1AOk9gOHHMZtOtFrPhw/110/Brecksville-Miller-Rd-Brecksville-OH-Office-Building-I-DiGeronimo-Companies-Future-Headquarters-4-Large.jpg | https://images1.loopnet.com/i2/gRUn93gLW1Hm37ktsozjjBABIIHkC86LjeVlO_lWTTU/110/Brecksville-Miller-Rd-Brecksville-OH-Valor-Acres-5-Large.jpg | https://images1.loopnet.com/i2/m8pnX_C3__uMboUez5rGMR-MOj5qun0iUFVBiSV4NhA/110/Brecksville-Miller-Rd-Brecksville-OH-Office-Building-I-DiGeronimo-Companies-Future-Headquarters-6-Large.jpg | https://images1.loopnet.com/i2/-iEvdoLuIR0ob2CNo43wIWqwNbTJET_-XllWQq__VHE/110/Brecksville-Miller-Rd-Brecksville-OH-Valor-Acres-Aerial-Rendering-Grocery-7-Large.png | https://images1.loopnet.com/i2/osY1yFQIdN2H1kUYsubcYiMNnBxo49DR2hJfQi1vJwI/110/Brecksville-Miller-Rd-Brecksville-OH-Office-Building-I-DiGeronimo-Companies-Future-Headquarters-8-Large.jpg,Valor Acres,Brecksville & Miller Rd, Brecksville,OH,44141,"Valor Acres is a novel mixed-use development led by DiGeronimo Companies, offering Class A office, retail, restaurant, and standalone grocery space. 
Become a founding factor of this market-shaping project as its prime placement along I-77 allows it to be a hub for Cleveland and Akron residents. 
Area is already brimming with an average household income of $127,453, contributing to $809 million in annual spending within a 5-mile radius.


Live: The upscale apartment complex, Canvas, began construction in Summer of 2023 and will bring over 200 luxury units to the development. 
Work: Sherwin Williams’ 600,000-SF Research and Development Center is underway, and Phase 1 office space is available at DiGeronimo’s new HQ. 
Enjoy: Visitors can spend a night out at the high-end restaurants and peruse the shops or venture the national park then stay at the boutique hotel.",,"
24 Hour Access
Conferencing Facility
Food Court

Freeway Visibility
Property Manager on Site

Restaurant
Signage

Monument Signage
Air Conditioning
",,Lee | Onaway | Avalon | Ashby | Kenmore27 min drive | 29 min drive | 27 min drive | 28 min drive | 27 min drive16.4 mi | 17.2 mi | 19.3 mi | 16.8 mi | 18.9 miCleveland-Hopkins International | Akron-Canton Regional32 min drive | 44 min drive20.6 mi | 34.5 mi,,,,,,,,,,,,,,,,,,,"PARK FACTS
					





Total Space Available

189,395 SF						


Min. Divisible

3,300 SF						


Max. Contiguous

50,902 SF						


Park Type

Office Park						


Features


24 Hour Access




 Conferencing Facility, Food Court, Freeway Visibility, Property Manager on Site, Restaurant, Signage, Monument Signage, Air Conditioning",https://www.loopnet.com/Listing/Brecksville-Miller-Rd-Brecksville-OH/29496101/
https://images1.loopnet.com/i2/BPjGV71GIZBY9Hxo0jmmJTnxOYPfq58Q3n7QDVT8qBI/110/127-N-Elizabeth-St-Lima-OH-First-Floor-4-Large.jpg | https://images1.loopnet.com/i2/AGWkIC4JetVfoY1Oh9jgxs3TDkr_eJLjUaX8eo7ULUE/110/127-N-Elizabeth-St-Lima-OH-Tour-Suite-101-5-Large.jpg | https://images1.loopnet.com/i2/j-S35ixZF6gdmajVnN6vzyThscvTGgAXFDz9MUoXzCA/110/127-N-Elizabeth-St-Lima-OH-Tour-Suite-102-6-Large.jpg | https://images1.loopnet.com/i2/urfuET9z-EgZCJLoTL4XB8EZccDfsirSQqviWEosyjU/110/127-N-Elizabeth-St-Lima-OH-Tour-Suite-103-7-Large.jpg | https://images1.loopnet.com/i2/f5NtwQY7cN2_lzDpFoOxptIg1Yib7pnJKpfzqcU-Bx0/110/127-N-Elizabeth-St-Lima-OH-Suite-105-Ground-Floor-Retail-Suites-Pleasantly-Placed-At-The-Heart-Of-Downtown-Lima-8-Large.jpg,Metro Center,127 N Elizabeth St, Lima,OH,45801,"Metro Center at 127 N Elizabeth Street offers ground-floor retail suites perfect for a salon, restaurant, small business, or boutique retail.
Located directly off N West Street/Route 65 and minutes to the nearest Interstate 75 onramp, leading travelers into the heart of Lima.
Ample area parking available.


Provides retailers high visibility along N Elizabeth Street and consistent foot traffic with a desirable location at the center of Downtown Lima.
Perfectly situated a stone's throw from a medical district featuring St. Rita's and Lima Memorial Hospitals, which provide increased foot traffic.",,"
24 Hour Access
Property Manager on Site

Tenant Controlled HVAC
Furnished Units Available

Grill

Maintenance on site
",,,,,Multifamily,Apartment,,,"67,381 SF",,,2021,,,,,,,,,"PROPERTY FACTS FOR
							127 N Elizabeth St

,

Lima,

							OH 45801
						






Rental Rate

$13.00 - $14.00 /SF/YR						


No. Units

33						


Property Type

Multifamily						


Property Subtype

Apartment						


Apartment Style

Mid Rise						


Building Size

67,381 SF						


Year Built

2021",https://www.loopnet.com/Listing/127-N-Elizabeth-St-Lima-OH/27006594/
